task_id,perm_id,variance,avg_jaccard,num_tools
31,4,1.61,0.4953968253968255,8
32,0,1.0900000000000003,0.24259259259259258,8
32,1,0.89,0.29259259259259257,8
32,2,6.21,0.22566137566137567,8
32,3,2.96,0.2657407407407408,8
32,4,0.9600000000000002,0.35,8
33,0,7.639999999999999,0.3288359788359788,8
33,1,1.6,0.437037037037037,8
33,2,0.69,0.4,8
33,3,0.9600000000000002,0.28888888888888886,8
33,4,1.4899999999999998,0.4388888888888889,8
34,0,1.09,0.34074074074074073,8
34,1,7.0,0.28174603174603174,8
34,2,2.4099999999999997,0.36666666666666664,8
34,3,5.6899999999999995,0.3227777777777777,8
34,4,2.25,0.33925925925925926,8
35,0,3.45,0.36666666666666664,8
35,1,0.96,0.24259259259259258,8
35,2,1.24,0.26666666666666666,8
35,3,5.81,0.3928571428571429,8
35,4,1.7600000000000002,0.29518518518518516,8
36,0,0.96,0.5555555555555556,8
36,1,2.81,0.41703703703703704,8
36,2,4.0,0.48259259259259263,8
36,3,2.96,0.35222222222222216,8
36,4,0.8399999999999999,0.5333333333333333,8
37,0,1.24,0.4481481481481482,8
37,1,1.7600000000000002,0.3488888888888889,8
37,2,2.96,0.349700176366843,8
37,3,4.489999999999999,0.23108465608465603,8
37,4,3.1599999999999997,0.3851851851851852,8
38,0,4.290000000000001,0.35015873015873017,8
38,1,5.6899999999999995,0.2361111111111111,8
38,2,3.8400000000000007,0.33386243386243386,8
38,3,0.76,0.34814814814814815,8
38,4,1.04,0.25740740740740736,8
39,0,1.61,0.3611111111111111,8
39,1,0.43999999999999995,0.4,8
39,2,0.8399999999999999,0.5333333333333333,8
39,3,0.8900000000000002,0.4,8
39,4,5.61,0.27351851851851855,8
40,0,1.2,0.3444444444444444,8
40,1,0.36000000000000004,0.6814814814814815,8
40,2,1.29,0.19148148148148145,8
40,3,1.8099999999999998,0.4,8
40,4,2.21,0.33111111111111113,8
41,0,2.8099999999999996,0.27592592592592596,8
41,1,0.8099999999999999,0.39259259259259255,8
41,2,1.8099999999999998,0.30518518518518517,8
41,3,1.0399999999999998,0.312962962962963,8
41,4,2.01,0.3311111111111111,8
42,0,3.2,0.37777777777777777,8
42,1,1.9599999999999997,0.34814814814814815,8
42,2,1.89,0.3907407407407406,8
42,3,3.21,0.3692592592592593,8
42,4,3.6400000000000006,0.4962962962962963,8
43,0,4.89,0.3563492063492063,8
43,1,3.8,0.22814814814814813,8
43,2,2.36,0.27449735449735446,8
43,3,1.6900000000000002,0.38592592592592584,8
43,4,1.2,0.37407407407407406,8
44,0,3.2900000000000005,0.44259259259259254,8
44,1,1.36,0.5451851851851851,8
44,2,2.4899999999999998,0.28296296296296297,8
44,3,3.3600000000000003,0.22603174603174606,8
44,4,5.760000000000001,0.3518518518518518,8
45,0,9.610000000000003,0.2573015873015873,8
45,1,6.289999999999999,0.3088888888888889,8
45,2,5.8,0.4424867724867724,8
45,3,7.2,0.4583333333333334,8
45,4,6.040000000000001,0.3197354497354497,8
46,0,4.8,0.34317460317460313,8
46,1,4.85,0.3397354497354498,8
46,2,6.609999999999999,0.4158730158730159,8
46,3,6.65,0.39777777777777784,8
46,4,1.0899999999999999,0.5578835978835979,8
47,0,5.690000000000001,0.34833333333333333,8
47,1,1.9599999999999997,0.34814814814814815,8
47,2,1.8399999999999999,0.529074074074074,8
47,3,10.560000000000002,0.2973544973544973,8
47,4,6.29,0.3985978835978836,8
48,0,1.04,0.42592592592592593,8
48,1,1.0,0.34074074074074073,8
48,2,2.41,0.35777777777777775,8
48,3,3.81,0.21375661375661376,8
48,4,0.64,0.4222222222222222,8
49,0,2.8,0.31666666666666665,8
49,1,1.2099999999999997,0.4222222222222222,8
49,2,0.8099999999999999,0.4666666666666667,8
49,3,1.44,0.4074074074074074,8
49,4,1.2400000000000002,0.4592592592592592,8
50,0,4.010000000000001,0.43796296296296283,8
50,1,0.29000000000000004,0.5907407407407407,8
50,2,1.2100000000000002,0.3611111111111111,8
50,3,1.05,0.4888888888888889,8
50,4,1.24,0.3518518518518518,8
51,0,0.7600000000000001,0.37777777777777777,8
